cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,duration
3,1,256,0.01,20,2021-10-25 07:09:11+00:00,2021-10-25 07:20:19+00:00,668
3,1,256,0.05,5,2021-10-24 09:00:37+00:00,2021-10-24 09:03:17+00:00,160
3,1,256,0.05,5,2021-10-25 07:21:08+00:00,2021-10-25 07:23:50+00:00,162
3,1,256,0.05,5,2021-10-25 07:24:22+00:00,2021-10-25 07:27:13+00:00,171
3,1,256,0.05,20,2021-10-24 09:04:01+00:00,2021-10-24 09:14:53+00:00,652
3,1,256,0.05,20,2021-10-25 07:28:00+00:00,2021-10-25 07:39:06+00:00,666
3,1,256,0.05,20,2021-10-25 07:39:40+00:00,2021-10-25 07:50:29+00:00,649
3,4,32,0.01,5,2021-10-24 09:15:41+00:00,2021-10-24 09:17:50+00:00,129
3,4,32,0.01,5,2021-10-25 07:51:19+00:00,2021-10-25 07:54:21+00:00,182
3,4,32,0.01,5,2021-10-25 07:54:54+00:00,2021-10-25 07:56:06+00:00,72
3,4,32,0.01,20,2021-10-24 09:18:32+00:00,2021-10-24 09:23:04+00:00,272
3,4,32,0.01,20,2021-10-25 07:56:52+00:00,2021-10-25 08:01:16+00:00,264
3,4,32,0.01,20,2021-10-25 08:01:54+00:00,2021-10-25 08:06:29+00:00,275
3,4,32,0.05,5,2021-10-24 09:23:50+00:00,2021-10-24 09:25:05+00:00,75
3,4,32,0.05,5,2021-10-25 08:07:16+00:00,2021-10-25 08:08:28+00:00,72
3,4,32,0.05,5,2021-10-25 08:09:01+00:00,2021-10-25 08:10:13+00:00,72
3,4,32,0.05,20,2021-10-24 09:25:49+00:00,2021-10-24 09:30:22+00:00,273
3,4,32,0.05,20,2021-10-25 08:10:59+00:00,2021-10-25 08:15:33+00:00,274
3,4,32,0.05,20,2021-10-25 08:16:05+00:00,2021-10-25 08:20:39+00:00,274
3,4,256,0.01,5,2021-10-24 09:31:06+00:00,2021-10-24 09:32:00+00:00,54
3,4,256,0.01,5,2021-10-25 08:21:25+00:00,2021-10-25 08:22:19+00:00,54
3,4,256,0.01,5,2021-10-25 08:22:51+00:00,2021-10-25 08:23:47+00:00,56
3,4,256,0.01,20,2021-10-24 09:32:41+00:00,2021-10-24 09:35:58+00:00,197
3,4,256,0.01,20,2021-10-25 08:24:34+00:00,2021-10-25 08:27:48+00:00,194
3,4,256,0.01,20,2021-10-25 08:28:21+00:00,2021-10-25 08:31:40+00:00,199
3,4,256,0.05,5,2021-10-24 09:36:42+00:00,2021-10-24 09:37:38+00:00,56
3,4,256,0.05,5,2021-10-25 08:32:32+00:00,2021-10-25 08:33:30+00:00,58
3,4,256,0.05,5,2021-10-25 08:34:01+00:00,2021-10-25 08:35:01+00:00,60
3,4,256,0.05,20,2021-10-24 09:38:21+00:00,2021-10-24 09:41:35+00:00,194
3,4,256,0.05,20,2021-10-25 08:35:56+00:00,2021-10-25 08:39:06+00:00,190
3,4,256,0.05,20,2021-10-25 08:39:39+00:00,2021-10-25 08:42:58+00:00,199
