exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
1,3,1,0.01,512,15,2021-10-27T23:25:00Z,2021-10-27T23:33:07Z,trainjob-b56100c8-aec7-4b4f-95a0-5b34344374f2
2,3,3,0.05,512,2,2021-10-27T23:33:54Z,2021-10-27T23:34:26Z,trainjob-b31626b2-0d5f-4d24-ab9f-ea48f54abc23
3,1,3,0.01,512,13,2021-10-27T23:35:13Z,2021-10-27T23:40:11Z,trainjob-bdae5c6c-5204-449c-a0dc-566d90b4d0c2
4,1,3,0.05,256,9,2021-10-27T23:40:58Z,2021-10-27T23:44:25Z,trainjob-0b9f0d56-dd6c-437b-ac48-76e49c53bee3
5,3,1,0.05,256,14,2021-10-27T23:45:16Z,2021-10-27T23:52:58Z,trainjob-4e0ad151-9d0a-40eb-b7e5-fc0790e84c45
6,3,3,0.01,256,17,2021-10-27T23:53:47Z,2021-10-27T23:57:17Z,trainjob-865fcc93-fc9b-49ed-84d2-91856221316d
