exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
1,3,1,0.01,512,8,2021-10-28T00:09:33Z,2021-10-28T00:14:02Z,trainjob-eb55427b-c88b-4ba2-9eec-e64d178ad69b
2,3,3,0.05,512,17,2021-10-28T00:14:51Z,2021-10-28T00:18:22Z,trainjob-2a68e732-e060-4556-a4c1-3fc97a855e48
3,1,3,0.01,512,9,2021-10-28T00:19:09Z,2021-10-28T00:22:35Z,trainjob-b575d82a-35ce-412d-98cb-44799c9f4ae1
4,1,3,0.05,256,6,2021-10-28T00:23:22Z,2021-10-28T00:25:41Z,trainjob-9bc77d3c-07f8-43ee-b9cf-9f5c4e76db1a
5,3,1,0.05,256,6,2021-10-28T00:26:31Z,2021-10-28T00:29:52Z,trainjob-1d816762-c9a4-4232-ad18-13fbf9023140
6,3,3,0.01,256,12,2021-10-28T00:30:39Z,2021-10-28T00:33:14Z,trainjob-0122b57a-827d-440c-bd7c-db34caef85d1
