exp_no,cores,parallelization,batch_size,learning_rate,max_epoch,start_time,end_time,job_name
40,3,1,32,0.05,20,2021-10-25T06:36:44Z,2021-10-25T06:49:39Z,trainjob-88a7c3b9-e783-41d7-a99a-75a21bdee83f
41,3,1,256,0.01,5,2021-10-25T06:50:29Z,2021-10-25T06:53:17Z,trainjob-21a19e39-aa2b-49bf-b92f-960c9eb7cc9b
42,3,1,256,0.01,5,2021-10-25T06:53:50Z,2021-10-25T06:56:30Z,trainjob-2918a6c0-e8be-4a30-a6f8-2ebe3990a816
43,3,1,256,0.01,20,2021-10-25T06:57:18Z,2021-10-25T07:08:34Z,trainjob-a3a3c5f3-346a-40bc-b6c1-e799c3c92956
44,3,1,256,0.01,20,2021-10-25T07:09:11Z,2021-10-25T07:20:19Z,trainjob-b8f0619f-3d0c-4157-9397-52b7b1eace22
45,3,1,256,0.05,5,2021-10-25T07:21:08Z,2021-10-25T07:23:50Z,trainjob-d62a35aa-69a1-447a-bf13-b3c2c7a7534b
46,3,1,256,0.05,5,2021-10-25T07:24:22Z,2021-10-25T07:27:13Z,trainjob-2c555c89-53e4-4583-bde6-1d8541aaad53
47,3,1,256,0.05,20,2021-10-25T07:28:00Z,2021-10-25T07:39:06Z,trainjob-1f083d72-968d-4f3b-bd32-6c6253ac983e
48,3,1,256,0.05,20,2021-10-25T07:39:40Z,2021-10-25T07:50:29Z,trainjob-7d345cc8-a882-4465-9c9e-fd08e948c78c
49,3,4,32,0.01,5,2021-10-25T07:51:19Z,2021-10-25T07:54:21Z,trainjob-3d0ebd73-0d4a-440d-9c3a-d8003242bbd6
50,3,4,32,0.01,5,2021-10-25T07:54:54Z,2021-10-25T07:56:06Z,trainjob-6396d912-5723-478a-adbe-580210988d85
51,3,4,32,0.01,20,2021-10-25T07:56:52Z,2021-10-25T08:01:16Z,trainjob-ea485125-ccfd-4050-b853-783733ca3970
52,3,4,32,0.01,20,2021-10-25T08:01:54Z,2021-10-25T08:06:29Z,trainjob-29154eaf-fa62-4555-a4a2-a3cf762af9b5
53,3,4,32,0.05,5,2021-10-25T08:07:16Z,2021-10-25T08:08:28Z,trainjob-db4eb5fd-1b8e-4751-885f-992e7695a428
54,3,4,32,0.05,5,2021-10-25T08:09:01Z,2021-10-25T08:10:13Z,trainjob-6c9e621f-fcf2-4dbc-8c1b-10aeb796dd9d
55,3,4,32,0.05,20,2021-10-25T08:10:59Z,2021-10-25T08:15:33Z,trainjob-5744e196-1659-4f2a-b1ec-1366cdcb14f8
56,3,4,32,0.05,20,2021-10-25T08:16:05Z,2021-10-25T08:20:39Z,trainjob-3213fbf0-54d6-4756-9b8c-b190c6abf2da
57,3,4,256,0.01,5,2021-10-25T08:21:25Z,2021-10-25T08:22:19Z,trainjob-0eba77db-3ffb-4eb8-b7c7-2d7bcaf38a8c
58,3,4,256,0.01,5,2021-10-25T08:22:51Z,2021-10-25T08:23:47Z,trainjob-119769b9-7009-4a85-aea7-9ad816fc5b0a
59,3,4,256,0.01,20,2021-10-25T08:24:34Z,2021-10-25T08:27:48Z,trainjob-df4002b5-3c1f-44ed-a757-3b2331955cdf
60,3,4,256,0.01,20,2021-10-25T08:28:21Z,2021-10-25T08:31:40Z,trainjob-26788210-dff8-422f-92d4-76460e75ffcf
61,3,4,256,0.05,5,2021-10-25T08:32:32Z,,trainjob-bfbe5eda-eb84-4102-9071-9e71a275f9bb
62,3,4,256,0.05,5,2021-10-25T08:34:01Z,2021-10-25T08:35:01Z,trainjob-a5739878-8b8c-4779-bf23-447fc9872e25
63,3,4,256,0.05,20,2021-10-25T08:35:56Z,2021-10-25T08:39:06Z,trainjob-24974cac-8386-4f9e-98aa-c8c693fe9db2
64,3,4,256,0.05,20,2021-10-25T08:39:39Z,2021-10-25T08:42:58Z,trainjob-7da8e945-616b-4a62-ba72-51829dc33107
